,Description,Country,Weather,Time of Day,Season,Activity,student_id,Consistency_Label
628,The Dome of the Rock with its golden dome on a raised platform. I chose this place because it holds deep spiritual and personal significance.,Palestine,Sunny,Morning,Not Clear,religious,1220212,Contradictory
629,"Kaaba, the black cube at the center of Makkah, surrounded by 4 minarets and many worshippers. I chose it for its deep religious importance and spiritual connection to my faith.",Saudi Arabia,Cloudy,Afternoon,Not Clear,religious,1220212,Contradictory
630,Snow-capped mountains and a calm lake. I chose it because I love nature and enjoy adventurous landscapes.,Switzerland,Cloudy,Morning,Not Clear,hiking,1220212,Consistent
631,Venice’s old buildings and a canal with many boats. I chose it because I love seeing beautiful places that feel peaceful and inspiring.,Italy,Cloudy,Evening,Not Clear,sightseeing,1220212,Consistent
632,"Kawarau Gorge Suspension Bridge with its ropes and structure surrounded with yellow trees. I chose it because it’s the most famous bungee jumping spot in the world, and I want to try it myself.",New Zealand,Sunny,Morning,Fall,adventure,1220212,Consistent
633,Aurora Lights over snowy mountains and a rocky beach. I chose it because I love magical natural scenes and adventure.,Norway,Snowy,Evening,Winter,sightseeing,1220212,Contradictory
634,"View of Santorini, with its white houses on the cliffs and the sea in the distance. I chose it because it gives a peaceful and relaxing feeling.	",Greece,Sunny,Morning,Summer,relaxing,1220212,Consistent
635,"Blue waters in the Maldives with a snorkeler, showing the clear water and the sea floor with coral visible beneath. I chose it because I want to explore the underwater world there.",Maldives ,Sunny,Morning,Summer,water,1220212,Consistent
636,The historic Communication Palace with the Cibeles Fountain in front of it. I chose it because I want to explore the old architecture and the stunning surroundings.,Spain,Cloudy,Afternoon,Not Clear,sightseeing,1220212,Consistent
637,Yasaka Pagoda tower rising above the traditional streets. I chose it because I want to explore the culture.,Japan,Cloudy,Afternoon,Winter,sightseeing,1220212,Consistent
638,"Zaanse Schans is a neighborhood in Zaandam, North Holland, famous for its historic windmills and wooden houses which were moved there for preservation.I choose it because it offers a unique, living snapshot of 17th and 18th-century Dutch life.",Holland,Sunny,Morning,Spring,unknown,1220214,Consistent
639,"Atlantis Paradise Island is an ocean-themed mega-resort on Paradise Island, Bahamas. I choose it because it has luxury accommodation and beautiful scenary an water entertainment ",Bahamas,Sunny,Afternoon,Summer,unknown,1220214,Consistent
640,"angled view of the exterior of the Colosseum, one of the most famous and recognizable ancient structures in the world. I chose it because it has an interesting history of ancient times",Italy,Sunny,Night,Summer,unknown,1220214,Contradictory
641,"Stonehenge is a prehistoric megalithic structure on Salisbury Plain in Wiltshire, England, two miles (3 km) west of Amesbury. I choose it because it has a mysterious pass and is considered an engima",United Kingdom,Cloudy,Afternoon,Fall,unknown,1220214,Consistent
642,"Lauterbrunnen is a glacial valley in the Bernese Alps known for its vertical cliffs, mountainous meadows, and numerous waterfalls I would visit To experience the natural beauty of the valley, waterfalls, and mountain scenery. ",Switzerland,Sunny,Night,Spring,unknown,1220214,Contradictory
643,"Zhangjiajie National Forest Park is defined by vertical sandstone pillars rising through dense mist, creating a landscape that appears almost otherworldly. I chose this place for its distinctive geology.",China,Cloudy,Afternoon,Spring,unknown,1220214,Consistent
644,"Daisetsuzan National Park is a huge area of mountains, volcanoes, and open wild land in the middle of Hokkaido. I would choose this place because it gives me quiet space, fresh air, and a chance to see strong natural landscapes up close.",Japan,Cloudy,Afternoon,Spring,hiking,1220214,Consistent
645,"Neuschwanstein Castle is a big castle  in Bavaria, with towers that look like they came from a fantasy world. I would choose this place because it feels like stepping into an adventure, with dramatic views and a castle that looks built for epic stories.",Germany,Cloudy,Afternoon,Spring,unknown,1220214,Consistent
646,"Oia in Santorini is famous for its whitewashed houses, blue-domed churches, and cliffside views of the Aegean Sea. I choose it because the architecture and landscape together create a visually iconic coastal scene.",Greece,Sunny,Afternoon,Summer,unknown,1220214,Consistent
647,"Iguazu Falls is a scenic waterfall in a lush setting; I choose to visit for its natural beauty, serenity, and opportunities for hiking and photography.",Brazil,Sunny,Afternoon,Summer,unknown,1220214,Consistent
648,FC Barcelona Stadium (Camp Nou),Spain,Sunny,Morning,Summer,unknown,1220216,Consistent
649,Louvre Musuem,France,Cloudy,Evening,Not Clear,sightseeing,1220216,Consistent
650,Bunkers Del Carmel,Spain,Not Clear,Evening,Summer,sightseeing,1220216,Consistent
651,Casa Batllo,Spain,Cloudy,Afternoon,Spring,sightseeing,1220216,Consistent
652,Cathedral of Barcelona,Spain,Cloudy,Afternoon,Spring,sightseeing,1220216,Consistent
653,Sagrada Familia,Spain,Snowy,Afternoon,Winter,sightseeing,1220216,Contradictory
654,Grand Canal,Italy,Sunny,Morning,Summer,water,1220216,Consistent
655,Pyramids,Egypt,Sunny,Morning,Summer,relaxing,1220216,Consistent
656,Lake Como,Italy,Sunny,Morning,Summer,sightseeing,1220216,Consistent
657,Galata Tower,Turkey,Sunny,Evening,Summer,sightseeing,1220216,Consistent
658,Top view of Tokyo city showing modern and beautiful buildings with Fuji mountain.,Japan,Not Clear,Evening,Not Clear,sightseeing,1220251,Contradictory
659,View of a temple in top of Kyoto city with beautiful trees.,Japan,Sunny,Morning,Fall,sightseeing,1220251,Consistent
660,Modern and beautiful buildings on a small island in Shanghai city.,China,Cloudy,Evening,Not Clear,sightseeing,1220251,Consistent
661,The green nature of Lucerne city and the traditional buildings.,Switzerland,Sunny,Afternoon,Spring,sightseeing,1220251,Consistent
662,Penguins climbing snowy mountain in Antarctica.,Antarctica,Snowy,Afternoon,Winter,hiking,1220251,Consistent
663,Beautiful aurora above a snowy mountain in Iceland.,Iceland,Snowy,Evening,Winter,relaxing,1220251,Consistent
664,Wide view of New York city showing the central park surrounded by so many buildings.,USA,Sunny,Morning,Summer,sightseeing,1220251,Consistent
665,Beautiful view of the modern and famous buildings of Singapore with lakes and ocean.,Singapore,Sunny,Morning,Summer,sightseeing,1220251,Consistent
666,View of the most famous building of Moscow city with snow.,Russia,Snowy,Afternoon,Winter,sightseeing,1220251,Contradictory
667,Beautiful of view of an island in the Maldives with many green trees and fresh blue water of the ocean with many huts.,Maldives,Sunny,Morning,Summer,relaxing,1220251,Consistent
668,Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,Spring,hiking,1220280,Consistent
669,Iconic blue-domed church overlooking the caldera and sea.,Greece,Sunny,Afternoon,Summer,sightseeing,1220280,Consistent
670,Aerial view of the ancient Incan citadel of Machu Picchu surrounded by mountains.,Peru,Cloudy,Morning,Spring,hiking,1220280,Consistent
671,Moraine Lake with turquoise waters reflecting the snow-capped Valley of the Ten Peaks.,Canada,Sunny,Afternoon,Summer,sightseeing,1220280,Consistent
672,The Treasury (Al-Khazneh) carved into the red sandstone cliff face.,Jordan,Sunny,Afternoon,Fall,sightseeing,1220280,Consistent
673,Bright neon lights and bustling crowds in Times Square at night.,USA,Not Clear,Evening,Winter,sightseeing,1220280,Contradictory
674,Aerial view of a pristine white sand beach and turquoise lagoon.,Maldives,Sunny,Afternoon,Spring,relaxing,1220280,Consistent
675,The Taj Mahal mausoleum captured at sunrise with dramatic clouds.,India,Cloudy,Morning,Not Clear,sightseeing,1220280,Consistent
676,"Paris at sunset with the Eiffel Tower illuminated against a golden sky. The City of Light embodies romance, culture, and timeless elegance.",France,Sunny,Evening,Spring,sightseeing,1220280,Consistent
677,The Aurora Borealis (Northern Lights) illuminating the night sky over a mountain.,Iceland,Not Clear,Evening,Winter,sightseeing,1220280,Contradictory
678,The image shows the massive Niagara Falls with powerful flowing water. I chose this place because I want to see its breathtaking natural beauty in real life.,Canada,Sunny,Afternoon,Summer,sightseeing,1220438,Consistent
679,The image shows Barcelona�s colorful cityscape and unique architecture. I chose this place because I love its artistic style and vibrant atmosphere.,Spain,Sunny,Evening,Summer,sightseeing,1220438,Consistent
680,The image shows Doha�s modern skyline with bright city lights. I chose this place because I�m interested in its rapid development and Gulf culture.,Qatar,Sunny,Evening,Summer,urban,1220438,Consistent
681,The image shows Tokyo�s busy streets and glowing buildings at night. I chose this place because I want to experience its mix of tradition and advanced technology.,Japan,Not Clear,Evening,Spring,urban,1220438,Consistent
682,The image shows Rio�s beaches and mountains under sunny weather. I chose this place because it looks exciting and full of natural beauty.,Brazil,Sunny,Afternoon,Summer,sightseeing,1220438,Consistent
683,The image shows the historic Colosseum in Rome. I chose this place because I want to explore its ancient history and famous landmarks.,Italy,Sunny,Morning,Spring,cultural,1220438,Consistent
684,The image shows Dubai�s tall skyscrapers and futuristic skyline. I chose this place because its modern design and desert views really inspire me.,United Arab Emirates,Sunny,Evening,Summer,sightseeing,1220438,Consistent
685,The image shows New York�s skyline at dusk with bright city lights. I chose this place because I want to feel the energy of this iconic city.,USA,Sunny,Evening,Fall,urban,1220438,Consistent
686,"The image shows the Eiffel Tower on a clear day. I chose this place because Paris is known for its beauty, romance, and cultural charm.",France,Sunny,Afternoon,Spring,relaxing,1220438,Consistent
687,The image shows Berlin�s historic buildings and wide parks. I chose this place because I�m interested in its history and modern culture.,Germany,Cloudy,Morning,Summer,other,1220438,Consistent
688,Iconic cityscape of NYC,United States of America,Sunny,Afternoon,Summer,sightseeing,1220439,Consistent
689,Natural landscape,Ireland,Cloudy,Afternoon,Fall,hiking,1220439,Consistent
690,Classic view of the Eiffel Tower,France,Sunny,Afternoon,Summer,sightseeing,1220439,Consistent
691,Iconic skyline with skyscrapers,United Arab Emirates,Sunny,Evening,Not Clear,relaxing,1220439,Consistent
